id,grade,subject,q,a,w1,w2,w3
2001,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,헬리콥터,헬리콤터,헤리콥터,헬리곱터
2002,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '모두 다 ____ 되어 빙글빙글 돌아요.',헬리콥터,헬리곱터,헤리콥터,헬리콤터
2003,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '모두 다 헬리곱터 되어 빙글빙글 돌아요.',헬리곱터 -> 헬리콥터,헬리곱터 -> 헤리콥터,틀린 글자가 없다.,헬리콥터 -> 헬리곱터
2004,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,짜장면,자잔면,자장면,짜잔면
2005,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '오늘 급식은 맛있는 ____이다!',짜장면,자잔면,자장면,짜잔면
2006,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '오늘 급식은 맛있는 자잔면이다!',자잔면 -> 짜장면,자잔면 -> 자장면,틀린 글자가 없다.,짜장면 -> 자잔면
2007,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,곯아떨어졌어,골아떨어졌어,골라떨어졌어,곪아떨어졌어
2008,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '너무 지쳐서 집에 오자마자 ____.',곯아떨어졌어,골아떨어졌어,골라떨어졌어,곪아떨어졌어
2009,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '너무 지쳐서 집에 오자마자 골아떨어졌어.',골아떨어졌어 -> 곯아떨어졌어,골아떨어졌어 -> 골라떨어졌어,틀린 글자가 없다.,곯아떨어졌어 -> 골아떨어졌어
2010,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,강아지풀,강아지플,강아지불,강아지뿔
2011,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '길가에 쓸모없는 ____이 자랐어요.',강아지풀,강아지뿔,강아지플,강아지불
2012,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '길가에 쓸모없는 강아지뿔이 자랐어요.',강아지뿔 -> 강아지풀,강아지뿔 -> 강아지플,틀린 글자가 없다.,강아지풀 -> 강아지뿔
2013,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,깜빡,끔뻑,깜박,껌뻑
2014,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '가위를 ____ 잊고 안 가져왔어요.',깜빡,끔뻑,껌뻑,깜박
2015,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '가위를 끔뻑 잊고 안 가져왔어요.',끔뻑 -> 깜빡,끔뻑 -> 껌뻑,틀린 글자가 없다.,깜빡 -> 끔뻑
2016,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,부릅뜨고,무릅뜨고,불읍뜨고,부릅트고
2017,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '눈을 ____ 말했어요.',부릅뜨고,무릅뜨고,부릅트고,불읍뜨고
2018,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '눈을 무릅뜨고 말했어요.',무릅뜨고 -> 부릅뜨고,무릅뜨고 -> 부릅트고,틀린 글자가 없다.,부릅뜨고 -> 무릅뜨고
2019,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,손뼉,손벽,손빡,손뻭
2020,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '공연이 끝나고 ____을 쳤어요.',손뼉,손벽,손뻭,손빡
2021,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '공연이 끝나고 손벽을 쳤어요.',손벽 -> 손뼉,손벽 -> 손뻭,틀린 글자가 없다.,손뼉 -> 손벽
2022,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,두리번거렸지요,두리벙거렸지요,두리번거려찌요,두리번거려지요
2023,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '주변을 ____.',두리번거렸지요,두리벙거렸지요,두리번거려지요,두리번거려찌요
2024,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '주변을 두리벙거렸지요.',두리벙거렸지요 -> 두리번거렸지요,두리벙거렸지요 -> 두리번거려지요,틀린 글자가 없다.,두리번거렸지요 -> 두리벙거렸지요
2025,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,들썩거렸습니다,들썩거려씀니다,들석거렸습니다,들썩거려슴니다
2026,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '신이나서 어깨를 ____.',들썩거렸습니다,들석거렸습니다,들썩거려슴니다,들썩거려씀니다
2027,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '신이나서 어깨를 들석거렸습니다.',들석거렸습니다 -> 들썩거렸습니다,들석거렸습니다 -> 들썩거려슴니다,틀린 글자가 없다.,들썩거렸습니다 -> 들석거렸습니다
2028,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,소쿠리,쇼쿠리,소구리,소꾸리
2029,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '감자를 한 ____ 꺼내 들고 웃으셨어요.',소쿠리,쇼쿠리,소구리,소꾸리
2030,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '감자를 한 쇼쿠리 꺼내 들고 웃으셨어요.',쇼쿠리 -> 소쿠리,쇼쿠리 -> 소구리,틀린 글자가 없다.,소쿠리 -> 쇼쿠리
2031,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,들꽃조차,들꽃조차도,들꽃마저,들꽃까지
2032,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '너무 황량해서 ____ 없었습니다.',들꽃조차,들꽃조차도,들꽃마저,들꽃까지
2033,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '너무 황량해서 들꽃조차도 없었습니다.',들꽃조차도 -> 들꽃조차,들꽃조차도 -> 들꽃마저,틀린 글자가 없다.,들꽃조차 -> 들꽃조차도
2034,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,황량해,황양해,항량해,황랑해
2035,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '이곳은 사막처럼 ____.',황량해,황양해,항량해,황랑해
2036,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '이곳은 사막처럼 황양해.',황양해 -> 황량해,황양해 -> 항량해,틀린 글자가 없다.,황량해 -> 황양해
2037,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,뒤숭숭한,뒤숭숭안,뒤숭숭안,뒤숭승한
2038,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '걱정이 있어서 마음이 ____.',뒤숭숭한,뒤숭승한,뒤숭숭안,뒤숭숭안
2039,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '걱정이 있어서 마음이 뒤숭승한.',뒤숭승한 -> 뒤숭숭한,뒤숭승한 -> 뒤숭숭안,틀린 글자가 없다.,뒤숭숭한 -> 뒤숭승한
2040,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,싱크대,씽크대,신크대,싱크데
2041,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '우유를 ____에 부어요.',싱크대,씽크대,신크대,싱크데
2042,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '우유를 씽크대에 부어요.',씽크대 -> 싱크대,씽크대 -> 신크대,틀린 글자가 없다.,싱크대 -> 씽크대
2043,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,누리집,우리집,누리짐,누리지
2044,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '학교 ____을 사용해 정보를 찾아요.',누리집,누리짐,누리지,우리집
2045,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '학교 누리짐을 사용해 정보를 찾아요.',누리짐 -> 누리집,누리짐 -> 누리지,틀린 글자가 없다.,누리집 -> 누리짐
2046,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,떡볶이,떡보끼,떡복이,떡뽂이
2047,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '____ 집을 지나서 집으로 가요.',떡볶이,떡보끼,떡복이,떡뽂이
2048,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '떡보끼 집을 지나서 집으로 가요.',떡보끼 -> 떡볶이,떡보끼 -> 떡복이,틀린 글자가 없다.,떡볶이 -> 떡보끼
2049,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,본체만체하거나,본채만채하거나,본채만채하거나,본체만채하거나
2050,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '친구를 보고도 ____ 지나갔어요.',본체만체하거나,본채만채하거나,본채만채하거나,본체만채하거나
2051,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '친구를 보고도 본채만채하거나 지나갔어요.',본채만채하거나 -> 본체만체하거나,본채만채하거나 -> 본채만채하거나,틀린 글자가 없다.,본체만체하거나 -> 본채만채하거나
2052,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,동그라미,동구라미,동그라니,동글아미
2053,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '종이에 바른 ____를 그려요.',동그라미,동그라니,동글아미,동구라미
2054,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '종이에 바른 동그라니를 그려요.',동그라니 -> 동그라미,동그라니 -> 동글아미,틀린 글자가 없다.,동그라미 -> 동그라니
2055,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,반질거리다,반지러거리다,반질거니다,빤질거리다
2056,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '코끝이 기름칠한 듯 ____.',반질거리다,반지러거리다,빤질거리다,반질거니다
2057,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '코끝이 기름칠한 듯 반지러거리다.',반지러거리다 -> 반질거리다,반지러거리다 -> 빤질거리다,틀린 글자가 없다.,반질거리다 -> 반지러거리다
2058,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,재롱둥이,재롱동이,제롱둥이,제롱둥이
2059,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '우리 집 강아지는 ____예요.',재롱둥이,제롱둥이,재롱동이,제롱둥이
2060,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '우리 집 강아지는 제롱둥이예요.',제롱둥이 -> 재롱둥이,제롱둥이 -> 재롱동이,틀린 글자가 없다.,재롱둥이 -> 제롱둥이
2061,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,허둥지둥,호둥지둥,허둥지동,허동지동
2062,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '늦을까 봐 ____ 따라갔습니다.',허둥지둥,호둥지둥,허둥지동,허동지동
2063,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '늦을까 봐 호둥지둥 따라갔습니다.',호둥지둥 -> 허둥지둥,호둥지둥 -> 허둥지동,틀린 글자가 없다.,허둥지둥 -> 호둥지둥
2064,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,깜빡깜빡,끔뻑끔뻑,깜박깜박,껌뻑껌뻑
2065,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '손전등 불빛이 ____ 합니다.',깜빡깜빡,껌뻑껌뻑,깜박깜박,끔뻑끔뻑
2066,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '손전등 불빛이 껌뻑껌뻑 합니다.',껌뻑껌뻑 -> 깜빡깜빡,껌뻑껌뻑 -> 깜박깜박,틀린 글자가 없다.,깜빡깜빡 -> 껌뻑껌뻑
2067,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,가랑비,거랑비,가낭비,가랑이
2068,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '보슬보슬 ____와 이슬비가 내려요.',가랑비,거랑비,가랑이,가낭비
