id,grade,subject,q,a,w1,w2,w3
4001,2,english,'새'(은)는 영어로 무엇일까요?,Bird,Bear,Foot,White
4002,2,english,'여자 형제'(은)는 영어로 무엇일까요?,Sister,Eye,Bird,White
4003,2,english,빈칸에 알맞은 말은? 'I ____ happy.' (나는 행복해.),am,is,are,be
4004,2,english,'빨간색'(은)는 영어로 무엇일까요?,Red,Sister,Monkey,Pig
4005,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Brother',남자 형제,돼지,할머니,고양이
4006,2,english,'호랑이'의 올바른 영어 철자는?,Tiger,Tige,Tgeri,Tigere
4007,2,english,빈칸에 알맞은 말은? 'Thank ____.' (고마워.),you,he,she,me
4008,2,english,'물고기'의 올바른 영어 철자는?,Fish,Fis,Fshi,Fishe
4009,2,english,'고양이'의 올바른 영어 철자는?,Cat,Ca,Cta,Cate
4010,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Dad',아빠,흰색,빨간색,남자 형제
4011,2,english,'발'의 올바른 영어 철자는?,Foot,Foo,Foto,Foote
4012,2,english,'사자'(은)는 영어로 무엇일까요?,Lion,Mom,Green,White
4013,2,english,'입'의 올바른 영어 철자는?,Mouth,Mout,Mutho,Mouthe
4014,2,english,빈칸에 알맞은 말은? 'I ____ happy.' (나는 행복해.),am,is,are,be
4015,2,english,빈칸에 알맞은 말은? 'How ____ you?' (기분이 어때? / 안녕?),are,am,is,do
4016,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Cow',소,원숭이,할아버지,사자
4017,2,english,'코'의 올바른 영어 철자는?,Nose,Nos,Nseo,Nosee
4018,2,english,빈칸에 알맞은 말은? 'See you ____.' (나중에 봐.),later,hater,water,letter
4019,2,english,'파란색'(은)는 영어로 무엇일까요?,Blue,Bird,Monkey,Yellow
4020,2,english,'코'(은)는 영어로 무엇일까요?,Nose,Red,Green,Dad
4021,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Green',초록색,흰색,파란색,코
4022,2,english,'노란색'의 올바른 영어 철자는?,Yellow,Yello,Yllowe,Yellowe
4023,2,english,빈칸에 알맞은 말은? 'I like ____.' (나는 피자를 좋아해.),pizza,desk,pen,book
4024,2,english,'사자'(은)는 영어로 무엇일까요?,Lion,Black,Fish,White
4025,2,english,'남자 형제'(은)는 영어로 무엇일까요?,Brother,Monkey,Hand,Cat
4026,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Yellow',노란색,발,할아버지,고양이
4027,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Tiger',호랑이,돼지,귀,눈
4028,2,english,'초록색'의 올바른 영어 철자는?,Green,Gree,Geenr,Greene
4029,2,english,빈칸에 알맞은 말은? 'I like ____.' (나는 피자를 좋아해.),pizza,pen,desk,book
4030,2,english,'초록색'의 올바른 영어 철자는?,Green,Gree,Geenr,Greene
4031,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,You,We,I
4032,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Dog',강아지,여자 형제,사자,손
4033,2,english,'할아버지'의 올바른 영어 철자는?,Grandpa,Grandp,Gandpar,Grandpae
4034,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Brother',남자 형제,엄마,코,강아지
4035,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,I,You,We
4036,2,english,'소'(은)는 영어로 무엇일까요?,Cow,Sister,Tiger,Pig
4037,2,english,'발'의 올바른 영어 철자는?,Foot,Foo,Foto,Foote
4038,2,english,'손'의 올바른 영어 철자는?,Hand,Han,Hnda,Hande
4039,2,english,'손'의 올바른 영어 철자는?,Hand,Han,Hnda,Hande
4040,2,english,빈칸에 알맞은 말은? 'Good ____.' (좋은 아침이야.),morning,bye,hello,night
4041,2,english,'코'(은)는 영어로 무엇일까요?,Nose,Eye,Dad,Bear
4042,2,english,'고양이'(은)는 영어로 무엇일까요?,Cat,Brother,Hand,Ear
4043,2,english,'여자 형제'(은)는 영어로 무엇일까요?,Sister,Eye,Hand,Lion
4044,2,english,'강아지'의 올바른 영어 철자는?,Dog,Do,Dgo,Doge
4045,2,english,빈칸에 알맞은 말은? 'Good ____.' (좋은 아침이야.),morning,night,hello,bye
4046,2,english,빈칸에 알맞은 말은? 'See you ____.' (나중에 봐.),later,hater,letter,water
4047,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Mouth',입,파란색,남자 형제,새
4048,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Lion',사자,귀,곰,여자 형제
4049,2,english,빈칸에 알맞은 말은? 'See you ____.' (나중에 봐.),later,water,hater,letter
4050,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,I,We,You
4051,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Lion',사자,엄마,남자 형제,코
4052,2,english,빈칸에 알맞은 말은? 'I ____ happy.' (나는 행복해.),am,is,be,are
4053,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,You,We,I
4054,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Mouth',입,손,빨간색,발
4055,2,english,'새'의 올바른 영어 철자는?,Bird,Bir,Brdi,Birde
4056,2,english,'빨간색'(은)는 영어로 무엇일까요?,Red,Lion,Black,Pig
4057,2,english,'할머니'의 올바른 영어 철자는?,Grandma,Grandm,Gandmar,Grandmae
4058,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Monkey',원숭이,곰,고양이,노란색
4059,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Mouth',입,눈,고양이,흰색
4060,2,english,빈칸에 알맞은 말은? 'How ____ you?' (기분이 어때? / 안녕?),are,am,is,do
4061,2,english,'파란색'(은)는 영어로 무엇일까요?,Blue,Tiger,Brother,Green
4062,2,english,빈칸에 알맞은 말은? 'Thank ____.' (고마워.),you,he,me,she
4063,2,english,'새'(은)는 영어로 무엇일까요?,Bird,Foot,White,Brother
4064,2,english,다음 영어 단어의 뜻은 무엇일까요? 'Grandma',할머니,검은색,고양이,돼지
4065,2,english,'코'(은)는 영어로 무엇일까요?,Nose,Dog,Yellow,Mom
4066,2,english,'원숭이'의 올바른 영어 철자는?,Monkey,Monke,Mnkeyo,Monkeye
4067,2,english,빈칸에 알맞은 말은? 'See you ____.' (나중에 봐.),later,hater,water,letter
4068,2,english,'남자 형제'(은)는 영어로 무엇일까요?,Brother,Grandma,Hand,Foot
4069,2,english,'할머니'의 올바른 영어 철자는?,Grandma,Grandm,Gandmar,Grandmae
4070,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,We,I,You
4071,2,english,빈칸에 알맞은 말은? '____ is a cat.' (그것은 고양이야.),It,You,I,We
4072,2,english,'할머니'의 올바른 영어 철자는?,Grandma,Grandm,Gandmar,Grandmae
4073,2,english,'초록색'(은)는 영어로 무엇일까요?,Green,Monkey,Bear,Dad
4074,2,english,빈칸에 알맞은 말은? 'I like ____.' (나는 피자를 좋아해.),pizza,pen,book,desk
4075,2,english,'엄마'(은)는 영어로 무엇일까요?,Mom,Mouth,Brother,Red
4076,2,english,'귀'의 올바른 영어 철자는?,Ear,Ea,Era,Eare
4077,2,english,빈칸에 알맞은 말은? 'Nice to ____ you.' (만나서 반가워.),meet,meat,feet,see
4078,2,english,빈칸에 알맞은 말은? 'Thank ____.' (고마워.),you,he,she,me
